Ticker ,Name ,Market cap 
RATNAVEER,Ratnaveer Precision Engineering Limited,"1,110.02"
MADRASFERT,Madras Fertilizers Limited,"1,108.70"
ROTO,Roto Pumps Limited,"1,095.62"
LAXMIDENTL,Laxmi Dental Limited,"1,089.23"
DAMCAPITAL,Dam Capital Advisors Limited,"1,086.73"
BAJAJHCARE,Bajaj Healthcare Limited,"1,080.57"
FAZE3Q,Faze Three Limited,"1,077.75"
VHL,Vardhman Holdings Limited,"1,077.72"
EXCELSOFT,Excelsoft Technologies Limited,"1,076.15"
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,"1,075.06"
RGL,Renaissance Global Limited,"1,074.65"
LEMERITE,Le Merite Exports Limited,"1,071.60"
IZMO,IZMO Limited,"1,059.36"
FINOPB,Fino Payments Bank Limited,"1,056.56"
AEROENTER,Aeroflex Enterprises Limited,"1,056.25"
UDS,Updater Services Limited,"1,056.12"
AVTNPL,AVT Natural Products Limited,"1,055.33"
BCLIND,Bcl Industries Limited,"1,053.44"
WCIL,Western Carriers (India) Limited,"1,047.39"
UNIECOM,Unicommerce Esolutions Limited,"1,045.78"
KAPSTON,Kapston Services Limited,"1,045.50"
OAL,Oriental Aromatics Limited,"1,043.90"
MICEL,MIC Electronics Limited,"1,043.58"
MWL,Mangalam Worldwide Limited,"1,041.90"
TNPL,Tamil Nadu Newsprint & Papers Limited,"1,041.41"
RAJOOENG,Rajoo Engineers Limited,"1,035.95"
CREST,Crest Ventures Limited,"1,034.42"
BSHSL,Bombay Super Hybrid Seeds Limited,"1,033.11"
HARIOMPIPE,Hariom Pipe Industries Limited,"1,030.44"
BIL,Bhartiya International Limited,"1,027.77"
ELECTHERM,Electrotherm (India) Limited,"1,027.33"
MAMATA,Mamata Machinery Limited,"1,026.39"
BIRLANU,BirlaNu Limited,"1,025.97"
YUKEN,Yuken India Limited,"1,025.25"
AFSL,Abans Financial Services Limited,"1,023.07"
CONTROLPR,Control Print Limited,"1,022.03"
BOROSCI,Borosil Scientific Limited,"1,018.84"
ORICONENT,Oricon Enterprises Limited,"1,016.10"
ABINFRA,A B Infrabuild Limited,"1,013.67"
GRPLTD,GRP Limited,"1,012.11"
GANDHITUBE,Gandhi Special Tubes Limited,"1,012.02"
FINKURVE,Finkurve Financial Services Limited,"1,011.28"
SWELECTES,Swelect Energy Systems Limited,"1,009.57"
WEALTH,Wealth First Portfolio Managers Limited,"1,005.62"
MASTERTR,Master Trust Limited,"1,005.41"
DHAMPURSUG,Dhampur Sugar Mills Limited,"1,004.97"
INDORAMA,Indo Rama Synthetics (India) Limited,"1,001.63"
